timestamp,connectedPlayers
2023/05/21 02:12:38,1
2023/05/21 02:12:39,2
2023/05/21 02:12:41,3
2023/05/21 02:12:43,4
2023/05/21 02:12:44,4
2023/05/21 02:12:45,5
2023/05/21 02:12:47,6
2023/05/21 02:12:49,7
2023/05/21 02:12:51,8
2023/05/21 02:12:54,8
2023/05/21 02:13:04,8
2023/05/21 02:13:14,8
2023/05/21 02:13:24,8
2023/05/21 02:13:34,8
2023/05/21 02:13:44,8
2023/05/21 02:13:54,8
2023/05/21 02:14:04,8
2023/05/21 02:14:14,8
2023/05/21 02:14:24,8
2023/05/21 02:14:34,8
2023/05/21 02:14:44,8
2023/05/21 02:14:54,8
2023/05/21 02:15:04,8
2023/05/21 02:15:14,8
2023/05/21 02:15:24,8
2023/05/21 02:15:34,8
2023/05/21 02:15:44,8
2023/05/21 02:15:54,8
2023/05/21 02:16:04,8
2023/05/21 02:16:14,8
2023/05/21 02:16:24,8
2023/05/21 02:16:34,8
2023/05/21 02:16:38,9
2023/05/21 02:16:44,9
2023/05/21 02:16:54,9
2023/05/21 02:17:04,9
2023/05/21 02:17:14,9
2023/05/21 02:17:24,9
2023/05/21 02:17:34,9
2023/05/21 02:17:44,9
2023/05/21 02:17:54,9
2023/05/21 02:18:04,9
2023/05/21 02:18:14,9
2023/05/21 02:18:24,9
2023/05/21 02:18:34,9
2023/05/21 02:18:43,8
2023/05/21 02:18:44,8
2023/05/21 02:18:45,7
2023/05/21 02:18:47,6
2023/05/21 02:18:49,5
2023/05/21 02:18:51,4
2023/05/21 02:18:54,4
2023/05/21 02:19:04,4
2023/05/21 02:19:14,4
2023/05/21 02:19:24,4
2023/05/21 02:19:34,4
2023/05/21 02:19:44,4
2023/05/21 02:19:54,4
2023/05/21 02:20:04,4
2023/05/21 02:20:14,4
2023/05/21 02:20:24,4
2023/05/21 02:20:34,4
2023/05/21 02:20:44,4
2023/05/21 02:20:54,4
2023/05/21 02:21:04,4
2023/05/21 02:21:14,4
2023/05/21 02:21:24,4
2023/05/21 02:21:34,4
2023/05/21 02:21:44,4
2023/05/21 02:21:54,4
2023/05/21 02:22:04,4
2023/05/21 02:22:14,4
2023/05/21 02:22:24,4
2023/05/21 02:22:34,4
2023/05/21 02:22:44,4
2023/05/21 02:22:54,4
2023/05/21 02:23:04,4
2023/05/21 02:23:14,4
2023/05/21 02:23:24,4
2023/05/21 02:23:34,4
2023/05/21 02:23:44,4
2023/05/21 02:23:54,4
2023/05/21 02:24:04,4
2023/05/21 02:24:14,4
2023/05/21 02:24:24,4
2023/05/21 02:24:34,4
2023/05/21 02:24:44,4
2023/05/21 02:24:54,4
2023/05/21 02:25:04,4
2023/05/21 02:25:14,4
2023/05/21 02:25:24,4
2023/05/21 02:25:34,4
2023/05/21 02:25:44,4
2023/05/21 02:25:54,4
2023/05/21 02:26:04,4
2023/05/21 02:26:13,3
2023/05/21 02:26:14,3
2023/05/21 02:26:24,3
2023/05/21 02:26:34,3
2023/05/21 02:26:44,3
2023/05/21 02:26:54,3
2023/05/21 02:27:04,3
2023/05/21 02:27:14,3
2023/05/21 02:27:24,3
2023/05/21 02:27:34,3
2023/05/21 02:27:44,3
2023/05/21 02:27:54,3
2023/05/21 02:28:04,3
2023/05/21 02:28:14,3
2023/05/21 02:28:24,3
2023/05/21 02:28:34,3
2023/05/21 02:28:38,3
2023/05/21 02:28:44,3
2023/05/21 02:28:54,3
2023/05/21 02:29:04,3
2023/05/21 02:29:14,3
2023/05/21 02:29:24,3
2023/05/21 02:29:34,3
2023/05/21 02:29:44,3
2023/05/21 02:29:54,3
2023/05/21 02:30:04,3
2023/05/21 02:30:14,3
2023/05/21 02:30:24,3
2023/05/21 02:30:34,3
2023/05/21 02:30:44,3
2023/05/21 02:30:54,3
2023/05/21 02:31:04,3
2023/05/21 02:31:14,3
2023/05/21 02:31:24,3
2023/05/21 02:31:34,3
2023/05/21 02:31:44,3
2023/05/21 02:31:54,3
2023/05/21 02:32:04,3
2023/05/21 02:32:14,3
2023/05/21 02:32:24,3
2023/05/21 02:32:34,3
2023/05/21 02:32:38,2
2023/05/21 02:32:39,1
2023/05/21 02:32:41,0
