timestamp,AveragePlayerCount,Instances,DesiredCapacity,PlayerCount
2023/05/20 20:12:00,0,1,1,0
2023/05/20 20:13:00,2,1,1,2
2023/05/20 20:14:00,6.666666666666667,1,1,6.666666666666667
2023/05/20 20:15:00,8,1,1,8
2023/05/20 20:16:00,8,1,1,8
2023/05/20 20:17:00,4.8,2,2,8
2023/05/20 20:18:00,4,2,2,8
2023/05/20 20:19:00,4,2,2,8
2023/05/20 20:20:00,4,2,2,8
2023/05/20 20:21:00,4,2,2,8
2023/05/20 20:22:00,4.363636363636363,2,2,8
2023/05/20 20:23:00,4,2,2,8
2023/05/20 20:24:00,0.5,2,2,1
2023/05/20 20:25:00,0,2,1,0
2023/05/20 20:26:00,0,2,1,0
2023/05/20 20:27:00,0,2,1,0
2023/05/20 20:28:00,0,2,1,0
2023/05/20 20:29:00,0,2,1,0
2023/05/20 20:30:00,0,2,1,0
2023/05/20 20:31:00,0,1,1,0
2023/05/20 20:32:00,0,1,1,0
2023/05/20 20:33:00,0,1,1,0
